FID;OBJECTID;AmbulanceR;BikeAge_Gr;Bike_Age;Bike_Alc_D;Bike_Dir;Bike_Injur;Bike_Pos;Bike_Race;Bike_Sex;City;County;CrashAlcoh;CrashDay;Crash_Date;Crash_Grp;Crash_Hour;Crash_Loc;Crash_Mont;Crash_Time;Crash_Type;Crash_Ty_1;Crash_Year;Crsh_Sevri;Developmen;DrvrAge_Gr;Drvr_Age;Drvr_Alc_D;Drvr_EstSp;Drvr_Injur;Drvr_Race;Drvr_Sex;Drvr_VehTy;ExcsSpdInd;Hit_Run;Light_Cond;Locality;Num_Lanes;Num_Units;Rd_Charact;Rd_Class;Rd_Conditi;Rd_Config;Rd_Defects;Rd_Feature;Rd_Surface;Region;Rural_Urba;Speed_Limi;Traff_Cntr;Weather;Workzone_I;Location
742;743;Yes;30-39;36;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Pitt;No;01/01/2006;06/10/2007;Motorist Left Turn / Merge;10;Intersection;01/10/2001;01/01/2001 10:16;Motorist Left Turn - Opposite Direction;111212;2007;B: Evident Injury;Farms, Woods, Pastures;30-39;38;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Coastal;Rural;50 - 55  MPH;No Control Present;Clear;No;35.522152, -77.301926
743;744;No;20-24;20;No;With Traffic;K: Killed;Travel Lane;White;Male;None - Rural Crash;Onslow;No;01/01/2004;06/09/2007;Motorist Overtaking Bicyclist;6;Non-Intersection;01/09/2001;01/01/2001 06:19;Motorist Overtaking - Undetected Bicyclist;311231;2007;K: Killed;Residential;0-19;19;No;41-45 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Roadway Not Lighted;Rural (<30% Developed);3 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Coarse Asphalt;Coastal;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;34.73466, -77.572945
753;754;Yes;10-juin;9;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Greensboro;Guilford;No;01/01/2006;08/09/2007;Loss of Control / Turning Error;14;Intersection;01/09/2001;01/01/2001 14:02;Bicyclist Lost Control - Mechanical Problems;111121;2007;B: Evident Injury;Residential;20-24;20;No;26-30 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;36.05889, -79.80635
758;759;No;30-39;38;Yes;NA;C: Possible Injury;Travel Lane;White;Male;Dunn;Harnett;Yes;01/01/2002;11/09/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;20;Intersection;01/09/2001;01/01/2001 20:09;Bicyclist Ride Through - Sign-Controlled Intersection;119144;2007;C: Possible Injury;Industrial;70+;NA;No;6-10 mph;O: No Injury;White;Male;Pickup;No;No;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Coastal;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.326004, -78.63051
772;773;Yes;20-24;24;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Wake;Yes;NA;24/12/2007;Motorist Overtaking Bicyclist;9;Non-Intersection;01/12/2001;01/01/2001 09:41;Motorist Overtaking - Bicyclist Swerved;311235;2007;B: Evident Injury;Farms, Woods, Pastures;50-59;58;Yes;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.58743, -78.71219
779;780;Yes;40-49;43;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Greensboro;Guilford;No;01/01/2006;15/09/2007;Bicyclist Left Turn / Merge;15;Intersection;01/09/2001;01/01/2001 15:22;Bicyclist Left Turn - Opposite Direction;111222;2007;B: Evident Injury;Commercial;40-49;41;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No;36.070274, -79.79041
782;783;No;10-juin;7;No;NA;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Buncombe;No;NA;17/09/2007;Loss of Control / Turning Error;17;Intersection-Related;01/09/2001;01/01/2001 17:45;Bicyclist Turning Error - Left Turn;219114;2007;B: Evident Injury;Residential;40-49;46;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Grade;Public Vehicular Area;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Mountains;Rural;NA;No Control Present;Clear;No;35.62123, -82.29145
785;786;No;25-29;26;Yes;With Traffic;O: No Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Charlotte;Mecklenburg;Yes;01/01/2006;29/12/2007;Motorist Failed to Yield - Sign-Controlled Intersection;21;Intersection;01/12/2001;01/01/2001 21:00;Motorist Drive Out - Sign-Controlled Intersection;131141;2007;O: No Injury;Commercial;25-29;27;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);3 lanes;2;Straight - Grade;US Route;Dry;Two-Way, Divided, Unprotected Median;None;On or Off Ramp;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Yield Sign;Clear;No;35.208168, -80.79628
786;787;Yes;50-59;54;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Lincoln;No;NA;17/09/2007;Motorist Overtaking Bicyclist;5;Non-Intersection;01/09/2001;01/01/2001 05:41;Motorist Overtaking - Undetected Bicyclist;311231;2007;C: Possible Injury;Residential;40-49;48;No;36-40 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Rural;40 - 45  MPH;No Control Present;Clear;No;35.42642, -81.30907
789;790;Yes;25-29;27;No;Not Applicable;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Greenville;Pitt;No;NA;17/09/2007;Other / Unusual Circumstances;11;Intersection;01/09/2001;01/01/2001 11:35;Unusual Circumstances;133800;2007;B: Evident Injury;Commercial;20-24;22;No;26-30 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);3 lanes;3;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.61084, -77.370804
796;797;Yes;25-29;25;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;Raleigh;Wake;No;01/01/2003;19/09/2007;Motorist Left Turn / Merge;23;Intersection;01/09/2001;01/01/2001 23:11;Motorist Left Turn - Opposite Direction;111212;2007;C: Possible Injury;Residential;50-59;54;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.779865, -78.649155
809;810;Yes;40-49;41;No;Facing Traffic;C: Possible Injury;Travel Lane;Black;Male;Gastonia;Gaston;No;NA;24/09/2007;Head-On;4;Non-Intersection;01/09/2001;01/01/2001 03:59;Head-On - Bicyclist;312250;2007;C: Possible Injury;Residential;NA;NA;Missing;31-35 mph;Injury;/Missing;NA;NA;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.26388, -81.20801
819;820;Yes;20-24;24;No;With Traffic;C: Possible Injury;Travel Lane;White;Female;High Point;Guilford;No;01/01/2005;28/09/2007;Bicyclist Failed to Yield - Signalized Intersection;15;Intersection;01/09/2001;01/01/2001 15:02;Bicyclist Ride Through - Signalized Intersection;111155;2007;C: Possible Injury;Commercial;30-39;38;No;16-20 mph;O: No Injury;Asian;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Grade;Local Street;Dry;One-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.955048, -80.01426
821;822;Yes;60-69;65;No;Facing Traffic;C: Possible Injury;NA;White;Male;Matthews;Mecklenburg;No;01/01/2004;27/09/2007;Motorist Failed to Yield - Sign-Controlled Intersection;1;Intersection;01/09/2001;01/01/2001 01:10;Motorist Drive Out - Sign-Controlled Intersection;192141;2007;C: Possible Injury;Residential;50-59;59;No;NA;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Bottom;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Stop Sign;Clear;No;35.11237, -80.758064
829;830;No;15-nov;14;No;With Traffic;C: Possible Injury;Travel Lane;Black;Male;Wilmington;New Hanover;No;01/01/2006;02/06/2007;Head-On;22;Non-Intersection;01/06/2001;01/01/2001 22:09;Head-On - Motorist;311255;2007;C: Possible Injury;Residential;NA;NA;Missing;NA;Injury;/Missing;NA;NA;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Water (Standing, Moving);Two-Way, Not Divided;None;No Special Feature;Gravel;Coastal;Urban;30 - 35  MPH;Stop Sign;Cloudy;No;34.223938, -77.932495
834;835;Yes;15-nov;14;No;Not Applicable;B: Evident Injury;NA;Black;Male;Winston-Salem;Forsyth;No;01/01/2003;03/10/2007;Bicyclist Failed to Yield - Signalized Intersection;17;Intersection-Related;01/10/2001;01/01/2001 17:34;Bicyclist Ride Out - Signalized  Intersection;293153;2007;B: Evident Injury;Industrial;30-39;36;No;0-5 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;36.131588, -80.23167
838;839;Yes;40-49;44;No;With Traffic;A: Disabling Injury;Travel Lane;Black;Male;Charlotte;Mecklenburg;No;01/01/2003;12/09/2007;Motorist Left Turn / Merge;6;Intersection;01/09/2001;01/01/2001 06:25;Motorist Left Turn - Opposite Direction;111212;2007;A: Disabling Injury;Residential;NA;NA;Missing;11-15 mph;Injury;/Missing;NA;Passenger Car;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Divided, Positive Median Barrier;None;Bridge;Coarse Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;35.331818, -80.742516
843;844;Yes;16-19;16;No;NA;C: Possible Injury;Travel Lane;Black;Male;Gastonia;Gaston;No;01/01/2002;09/10/2007;Motorist Left Turn / Merge;20;Non-Intersection;01/10/2001;01/01/2001 20:28;Motorist Left Turn - Same Direction;319211;2007;C: Possible Injury;Residential;25-29;26;No;26-30 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Cloudy;No;35.241547, -81.18739
856;857;Yes;40-49;42;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Guilford;No;01/01/2003;10/10/2007;Motorist Right Turn / Merge;7;Intersection;01/10/2001;01/01/2001 07:29;Motorist Right Turn - Same Direction;111213;2007;C: Possible Injury;Commercial;30-39;30;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;30 - 35  MPH;Stop And Go Signal;Clear;No;36.075737, -79.91272
857;858;No;50-59;50;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Johnston;No;01/01/2007;14/10/2007;Bicyclist Left Turn / Merge;12;Non-Intersection;01/10/2001;01/01/2001 12:29;Bicyclist Left Turn - Same Direction;311221;2007;B: Evident Injury;Farms, Woods, Pastures;30-39;34;No;16-20 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Smooth Asphalt;Coastal;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.26058, -78.38963
861;862;Yes;20-24;20;No;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Emerald Isle;Carteret;No;01/01/2002;16/10/2007;Crossing Paths - Other Circumstances;11;Intersection;01/10/2001;01/01/2001 11:43;Crossing Paths - Intersection - Other /;121180;2007;B: Evident Injury;Commercial;40-49;42;No;6-10 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Coastal;Rural;20 - 25  MPH;Stop Sign;Clear;No;34.665737, -77.03112
862;863;No;30-39;32;No;NA;B: Evident Injury;Travel Lane;Hispanic;Male;Hendersonville;Henderson;No;01/01/2007;16/09/2007;Head-On;18;Non-Intersection;01/09/2001;01/01/2001 18:29;Head-On - Bicyclist;319250;2007;B: Evident Injury;Residential;NA;NA;Missing;16-20 mph;Injury;/Missing;NA;Passenger Car;No;Yes;Daylight;Mixed (30% To 70% Developed);1 lane;2;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Mountains;Urban;30 - 35  MPH;No Control Present;Other;No;35.294586, -82.43405
864;865;No;15-nov;14;No;With Traffic;O: No Injury;Travel Lane;Black;Male;Kannapolis;Cabarrus;No;01/01/2003;17/10/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;18;Intersection;01/10/2001;01/01/2001 18:54;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;O: No Injury;Residential;40-49;42;No;21-25 mph;O: No Injury;Native American;Male;Sport Utility;No;No;Dusk;Mixed (30% To 70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.486828, -80.616745
866;867;No;NA;NA;Missing;With Traffic;Injury;Travel Lane;/Missing;NA;None - Rural Crash;Pitt;No;01/01/2005;19/10/2007;Motorist Overtaking Bicyclist;19;Non-Intersection;01/10/2001;01/01/2001 18:59;Motorist Overtaking - Other /;311239;2007;O: No Injury;Residential;0-19;16;No;6-10 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Coarse Asphalt;Coastal;Rural;20 - 25  MPH;No Control Present;Clear;No;35.67268, -77.5185
867;868;No;16-19;19;No;Not Applicable;B: Evident Injury;Non-Roadway;White;Male;Dudley;Wayne;No;01/01/2005;19/10/2007;Bicyclist Failed to Yield - Midblock;13;Non-Intersection;01/10/2001;01/01/2001 13:52;Bicyclist Ride Out - Commercial Driveway / Alley;363312;2007;B: Evident Injury;Commercial;50-59;54;No;41-45 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;US Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Cloudy;No;35.26771, -78.04223
878;879;No;15-nov;15;No;Not Applicable;B: Evident Injury;Non-Roadway;Black;Male;Winterville;Pitt;No;01/01/2002;23/10/2007;Parallel Paths - Other Circumstances;12;Non-Intersection;01/10/2001;01/01/2001 12:14;Motorist Turn / Merge - Other /;363219;2007;B: Evident Injury;Commercial;NA;NA;No;0-5 mph;Injury;/Missing;NA;Passenger Car;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;No Control Present;Clear;No;35.52881, -77.40321
879;880;Yes;25-29;28;No;With Traffic;C: Possible Injury;Travel Lane;White;Female;Asheville;Buncombe;No;01/01/2003;24/10/2007;Parallel Paths - Other Circumstances;8;Non-Intersection;01/10/2001;01/01/2001 08:03;Parallel Paths - Other /;311280;2007;C: Possible Injury;Commercial;NA;NA;Missing;21-25 mph;Injury;/Missing;NA;NA;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Wet;One-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Mountains;Urban;30 - 35  MPH;No Control Present;Rain;No;35.609737, -82.565254
888;889;No;15-nov;12;No;Not Applicable;B: Evident Injury;NA;Black;Male;Burlington;Alamance;No;NA;29/10/2007;Bicyclist Failed to Yield - Midblock;15;Non-Intersection;01/10/2001;01/01/2001 15:03;Bicyclist Ride Out - Midblock -;393319;2007;B: Evident Injury;Commercial;0-19;17;No;6-10 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Level;US Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;36.093678, -79.398575
903;904;Yes;10-juin;10;No;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Catawba;No;01/01/2007;04/11/2007;Bicyclist Right Turn / Merge;18;Non-Intersection;01/11/2001;01/01/2001 17:59;Bicyclist Right Turn - Same Direction;312223;2007;B: Evident Injury;Residential;20-24;22;No;26-30 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;30 - 35  MPH;No Control Present;Clear;No;35.679188, -81.36237
905;906;Yes;30-39;32;No;Not Applicable;C: Possible Injury;NA;White;Male;Gastonia;Gaston;No;NA;05/11/2007;Bicyclist Failed to Yield - Midblock;8;Non-Intersection;01/11/2001;01/01/2001 08:00;Bicyclist Ride Out - Midblock -;393319;2007;C: Possible Injury;Residential;25-29;27;No;26-30 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.2492, -81.17493
912;913;No;25-29;25;No;With Traffic;O: No Injury;Travel Lane;White;Female;Raleigh;Wake;No;01/01/2002;06/11/2007;Bicyclist Overtaking Motorist;12;Non-Intersection;01/11/2001;01/01/2001 12:28;Bicyclist Overtaking - Parked Vehicle;311243;2007;O: No Injury;Commercial;NA;NA;Missing;NA;Injury;/Missing;NA;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.794895, -78.70041
916;917;No;30-39;38;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;High Point;Guilford;No;01/01/2005;09/11/2007;Motorist Failed to Yield - Signalized Intersection;8;Intersection;01/11/2001;01/01/2001 08:21;Motorist Drive Out - Right Turn on Red;132151;2007;C: Possible Injury;Commercial;60-69;65;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.93804, -79.995056
918;919;No;NA;NA;Missing;With Traffic;Injury;Other;/Missing;NA;None - Rural Crash;Carteret;No;01/01/2006;10/11/2007;Bicyclist Left Turn / Merge;21;Non-Intersection;01/11/2001;01/01/2001 21:55;Bicyclist Left Turn - Same Direction;381221;2007;O: No Injury;Residential;0-19;18;No;51-55 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;50 - 55  MPH;No Control Present;Clear;No;34.818966, -76.87324
933;934;Yes;16-19;17;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Apex;Wake;No;01/01/2002;20/11/2007;Bicyclist Left Turn / Merge;18;Intersection;01/11/2001;01/01/2001 18:20;Bicyclist Left Turn - Opposite Direction;111222;2007;B: Evident Injury;Commercial;25-29;28;No;26-30 mph;O: No Injury;White;Female;Sport Utility;No;No;Dark - Lighted Roadway;Urban (>70% Developed);6 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No;35.738556, -78.86537
939;940;Yes;40-49;40;Yes;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Wayne;Yes;NA;26/11/2007;Motorist Overtaking Bicyclist;17;Non-Intersection;01/11/2001;01/01/2001 17:41;Motorist Overtaking - Misjudged Space;311232;2007;C: Possible Injury;Residential;70+;NA;No;36-40 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Wet;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Rural;40 - 45  MPH;No Control Present;Cloudy;No;35.33215, -78.07824
942;943;No;15-nov;13;No;With Traffic;B: Evident Injury;Other;White;Male;High Point;Guilford;No;01/01/2006;01/12/2007;Backing Vehicle;13;Non-Intersection;01/12/2001;01/01/2001 13:23;Backing Vehicle;381600;2007;B: Evident Injury;Residential;0-19;17;No;6-10 mph;O: No Injury;Asian;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);1 lane;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;20 - 25  MPH;No Control Present;Clear;No;35.929546, -79.964134
961;962;No;NA;NA;Missing;Facing Traffic;Injury;Travel Lane;/Missing;NA;Raleigh;Wake;No;01/01/2003;05/12/2007;Motorist Failed to Yield - Sign-Controlled Intersection;18;Intersection;01/12/2001;01/01/2001 18:11;Motorist Drive Out - Sign-Controlled Intersection;112141;2007;O: No Injury;Commercial;30-39;38;No;11-15 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);6 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop Sign;Clear;No;35.779778, -78.61804
962;963;Yes;70+;NA;No;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;Roper;Washington;No;01/01/2003;05/12/2007;Bicyclist Left Turn / Merge;17;Non-Intersection;01/12/2001;01/01/2001 17:09;Bicyclist Left Turn - Same Direction;321221;2007;B: Evident Injury;Farms, Woods, Pastures;40-49;43;No;31-35 mph;O: No Injury;Black;Male;Pickup;No;No;Dawn;Rural (<30% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.882225, -76.61047
963;964;Yes;16-19;16;No;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Wilmington;New Hanover;No;01/01/2003;05/12/2007;Motorist Right Turn / Merge;7;Intersection;01/12/2001;01/01/2001 07:22;Motorist Right Turn - Same Direction;131213;2007;C: Possible Injury;Commercial;40-49;42;No;6-10 mph;O: No Injury;White;Female;Pickup;No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;Stop And Go Signal;Cloudy;No;34.235474, -77.94591
966;967;Yes;16-19;19;No;NA;C: Possible Injury;NA;White;Male;Concord;Cabarrus;No;01/01/2006;02/06/2007;Bicyclist Failed to Yield - Midblock;0;Non-Intersection;01/06/2001;01/01/2001 00:46;Bicyclist Ride Out - Midblock -;399319;2007;C: Possible Injury;Commercial;25-29;27;No;41-45 mph;O: No Injury;Black;Male;Van;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;35.410606, -80.568214
973;974;No;10-juin;8;No;NA;C: Possible Injury;Non-Roadway;White;Male;Raleigh;Wake;No;01/01/2002;11/12/2007;Non-Roadway;9;Non-Roadway;01/12/2001;01/01/2001 09:45;Non-Roadway;460910;2007;C: Possible Injury;Residential;20-24;22;No;0-5 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);NA;2;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;5 - 15 MPH;No Control Present;Clear;No;35.84403, -78.57353
974;975;Yes;15-nov;12;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Rocky Mount;Nash;No;01/01/2004;13/12/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;19;Intersection;01/12/2001;01/01/2001 19:26;Bicyclist Ride Out - Sign-Controlled Intersection;132142;2007;C: Possible Injury;Residential;50-59;52;No;0-5 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Wet;One-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;Stop Sign;Rain;No;35.943115, -77.808495
993;994;No;NA;NA;No;With Traffic;Injury;Travel Lane;/Missing;NA;Eden;Rockingham;No;01/01/2002;14/08/2007;Bicyclist Failed to Yield - Sign-Controlled Intersection;15;Intersection;01/08/2001;01/01/2001 15:41;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2007;O: No Injury;Residential;60-69;65;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;36.498432, -79.76799
